duplicate_group_id,canonical_candidate,document_id,file_name,relative_path,extension,size_bytes,sha256
EXACT00011,False,DOC000033,2bff0e55530a5f042b71b7245b9310a5_original (7).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (7).pdf,.pdf,9728807,290648f6f7fc8e05fe816c0b981659f49af95ca7c31f137e180c1169c15bbe29
EXACT00012,True,DOC000062,SinaKiziroglu.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/SinaKiziroglu.pdf,.pdf,15934688,ab9820d96be33b424672d580d8bfc3cb2133ef5306ca2dc708359bf0363d8e1c
EXACT00012,False,DOC000133,SinaKiziroglu.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/SinaKiziroglu.pdf,.pdf,15934688,ab9820d96be33b424672d580d8bfc3cb2133ef5306ca2dc708359bf0363d8e1c
EXACT00012,False,DOC000034,2bff0e55530a5f042b71b7245b9310a5_original.pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original.pdf,.pdf,15934688,ab9820d96be33b424672d580d8bfc3cb2133ef5306ca2dc708359bf0363d8e1c
EXACT00013,True,DOC000132,Prof Mahir Vardar.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Prof Mahir Vardar.pdf,.pdf,34832019,c736114ad7d9ac29557c038d3125645cc50104cd1bb39ff873388c1f65c5ccbe
EXACT00013,False,DOC000035,d3ea386390156831f0600269fdb2e76a_original.pdf,Leyla Literatür/Tünel/d3ea386390156831f0600269fdb2e76a_original.pdf,.pdf,34832019,c736114ad7d9ac29557c038d3125645cc50104cd1bb39ff873388c1f65c5ccbe
EXACT00014,True,DOC000050,Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,Literatür ve Araştırmalar/Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,.pdf,36918819,746d18498e07a8a0f3978991903d15a1d843e26cc40b5609e519b429612ec84d
EXACT00014,False,DOC000065,Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,.pdf,36918819,746d18498e07a8a0f3978991903d15a1d843e26cc40b5609e519b429612ec84d
EXACT00014,False,DOC000094,Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,Mehmet/Literatur/Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,.pdf,36918819,746d18498e07a8a0f3978991903d15a1d843e26cc40b5609e519b429612ec84d
EXACT00015,True,DOC000052,19 MayısUniversitesi14. hafta (2020-2021).pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/19 MayısUniversitesi14. hafta (2020-2021).pdf,.pdf,2409297,26a13c5e78d13a2f070fa43831c41f18ec151c816a4eb05314b1fda3397c4653
EXACT00015,False,DOC000078,19 MayısUniversitesi14. hafta (2020-2021).pdf,Mehmet/Literatur/19 MayısUniversitesi14. hafta (2020-2021).pdf,.pdf,2409297,26a13c5e78d13a2f070fa43831c41f18ec151c816a4eb05314b1fda3397c4653
EXACT00016,True,DOC000053,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi[#367279]-384775.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi[#367279]-384775.pdf,.pdf,1588593,1e37bc8f02619f3efc525354baf1c302359835fd0b9d2f5a891adc867e3e607d
EXACT00016,False,DOC000080,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi[#367279]-384775.pdf,Mehmet/Literatur/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi[#367279]-384775.pdf,.pdf,1588593,1e37bc8f02619f3efc525354baf1c302359835fd0b9d2f5a891adc867e3e607d
EXACT00017,True,DOC000058,ITU Yuksek Lisans Tezi.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/ITU Yuksek Lisans Tezi.pdf,.pdf,5867079,eec30224d4cdbc5f8abf172e2ba4399f808cdb0c9d73e828c019bbb3791931a0
EXACT00017,False,DOC000084,ITU Yuksek Lisans Tezi.pdf,Mehmet/Literatur/ITU Yuksek Lisans Tezi.pdf,.pdf,5867079,eec30224d4cdbc5f8abf172e2ba4399f808cdb0c9d73e828c019bbb3791931a0
EXACT00018,True,DOC000059,KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.pdf,.pdf,2778238,04d6baa6481db3bec1d18c9bcc97cf831dcaeb768a6d57ce7f74a52936e02ef2
